W_x_error,W_y_error,W_z_error,V_x_error,V_y_error,V_z_error
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-9.999999999177334e-07,-1.000000082740371e-11,0.0
0.0,0.0,0.0,-1.999999999946489e-06,-4.000000330961484e-11,0.0
0.0,0.0,0.0,-2.0000299999489712e-06,9.9993999996828e-07,0.0
0.0,0.0,0.0,-4.00004000000731e-06,9.99839999960006e-07,0.0
0.0,0.0,0.0,-4.999960000029446e-06,-1.0002000000453037e-06,0.0
0.0,0.0,0.0,-5.999800000155986e-06,-5.0002399999971026e-06,0.0
0.0,0.0,0.0,-6.9997200000671e-06,-7.0002800000579235e-06,0.0
0.0,0.0,0.0,-8.999550000110546e-06,-9.000449999962967e-06,0.0
0.0,0.0,0.0,-7.999599999974905e-06,-1.0000320000036478e-05,0.0
0.0,0.0,0.0,-8.99956000000035e-06,-1.1000360000068543e-05,0.0
0.0,0.0,0.0,-8.99956000000035e-06,-1.1000360000068543e-05,0.0
0.0,0.0,0.0,-7.999559999971595e-06,-1.1000319999954211e-05,0.0
0.0,0.0,0.0,-9.999480000022487e-06,-1.300039999996283e-05,0.0
0.0,0.0,0.0,-8.99960000000366e-06,-1.0000359999984276e-05,0.0
0.0,0.0,0.0,-6.999719999956078e-06,-7.000280000002412e-06,0.0
0.0,0.0,0.0,-6.999719999956078e-06,-7.000279999946901e-06,0.0
0.0,0.0,0.0,-4.999849999909323e-06,-5.000149999989656e-06,0.0
0.0,0.0,0.0,-3.999909999996554e-06,-3.0001200000406847e-06,0.0
0.0,0.0,0.0,-3.0000600000912314e-06,1.9999099999945535e-06,0.0
0.0,0.0,0.0,-3.000059999980209e-06,1.9999099999945535e-06,0.0
0.0,0.0,0.0,-3.0001199999851735e-06,3.9999099999410426e-06,0.0
0.0,0.0,0.0,-4.000120000013929e-06,3.9998799999940715e-06,0.0
0.0,0.0,0.0,-4.000120000013929e-06,3.9998799999940715e-06,0.0
0.0,0.0,0.0,-4.000060000008965e-06,1.9998800000475825e-06,0.0
0.0,0.0,0.0,-6.000040000064821e-06,9.997599999533868e-07,0.0
0.0,0.0,0.0,-6.000080000068131e-06,1.9997599999821425e-06,0.0
0.0,0.0,0.0,-6.000000000061512e-06,-2.4000001985768904e-10,0.0
0.0,0.0,0.0,-5.999999999950489e-06,-2.4000001985768904e-10,0.0
0.0,0.0,0.0,-4.000120000013929e-06,2.9998400000175174e-06,0.0
0.0,0.0,0.0,-5.000150000045167e-06,2.9997499999545596e-06,0.0
0.0,0.0,0.0,-5.000050000036893e-06,9.997500000080706e-07,0.0
0.0,0.0,0.0,-4.000000000004e-06,-2.000000165480742e-10,0.0
0.0,0.0,0.0,-3.0000499999793817e-06,9.998499999608335e-07,0.0
0.0,0.0,0.0,-1.0000400000320653e-06,9.99960000025446e-07,0.0
0.0,0.0,0.0,-1.0001499999301444e-06,2.999950000026619e-06,0.0
0.0,0.0,0.0,-1.0002000000453037e-06,3.999949999999863e-06,0.0
0.0,0.0,0.0,-1.0000500000328927e-06,9.999499999691075e-07,0.0
0.0,0.0,0.0,-1.999899999938215e-06,-2.0001000000102742e-06,0.0
0.0,0.0,0.0,-1.9998500001561226e-06,-3.0000999999835187e-06,0.0
0.0,0.0,0.0,-9.999500000246186e-07,-1.0000499999773815e-06,0.0
0.0,0.0,0.0,-1.999940000052547e-06,-1.0001199999831734e-06,0.0
0.0,0.0,0.0,-9.998800000188268e-07,-2.0000600000069646e-06,0.0
0.0,0.0,0.0,-9.99760000008898e-07,-4.000060000008965e-06,0.0
0.0,0.0,0.0,-9.9981999990284e-07,-3.000059999924698e-06,0.0
0.0,0.0,0.0,-9.998800000188268e-07,-2.0000599999514534e-06,0.0
0.0,0.0,0.0,2.4000001985768904e-10,-4.000000000004e-06,0.0
0.0,0.0,0.0,3.000000248221113e-10,-4.999999999977245e-06,0.0
0.0,0.0,0.0,1.0002400000486134e-06,-3.999939999999036e-06,0.0
0.0,0.0,0.0,1.000419999841462e-06,-6.999939999974281e-06,0.0
0.0,0.0,0.0,2.0003599999762756e-06,-5.999879999996072e-06,0.0
0.0,0.0,0.0,5.000249999942419e-06,-4.999750000012071e-06,0.0
0.0,0.0,0.0,5.000300000057578e-06,-4.999699999952423e-06,0.0
0.0,0.0,0.0,7.0002399998880804e-06,-3.999579999969249e-06,0.0
0.0,0.0,0.0,9.000239999945592e-06,-3.9994599999593206e-06,0.0
0.0,0.0,0.0,1.1000179999998139e-05,-2.999339999976147e-06,0.0
0.0,0.0,0.0,1.1000139999994829e-05,-1.9992299999938012e-06,0.0
0.0,0.0,0.0,1.3999929999952698e-05,1.000979999998819e-06,0.0
0.0,0.0,0.0,1.500013999999883e-05,-1.998950000026145e-06,0.0
0.0,0.0,0.0,1.7999859999950907e-05,2.0012599999952307e-06,0.0
0.0,0.0,0.0,1.9999860000008418e-05,2.0014000000068144e-06,0.0
0.0,0.0,0.0,2.299975999997539e-05,4.00138000000716e-06,0.0
0.0,0.0,0.0,2.6999649999970288e-05,7.001349999979922e-06,0.0
0.0,0.0,0.0,2.799970000000318e-05,6.001399999955304e-06,0.0
0.0,0.0,0.0,2.9999519999934776e-05,8.001799999934889e-06,0.0
0.0,0.0,0.0,3.0999520000074554e-05,8.001859999995364e-06,0.0
0.0,0.0,0.0,3.399955000005228e-05,9.001700000010882e-06,0.0
0.0,0.0,0.0,3.499945999996257e-05,9.002099999988467e-06,0.0
0.0,0.0,0.0,3.7999339999927884e-05,1.1002280000060871e-05,0.0
0.0,0.0,0.0,4.1999040000018084e-05,1.6002520000057974e-05,0.0
0.0,0.0,0.0,4.399910000008056e-05,1.5002639999983636e-05,0.0
0.0,0.0,0.0,4.499922000000822e-05,1.30026999999866e-05,0.0
0.0,0.0,0.0,4.799909999997354e-05,1.5002880000003493e-05,0.0
0.0,0.0,0.0,5.199924999998995e-05,1.5002599999980326e-05,0.0
0.0,0.0,0.0,5.599894999996913e-05,2.1002800000002875e-05,0.0
0.0,0.0,0.0,5.999894999997313e-05,2.1003000000019423e-05,0.0
0.0,0.0,0.0,6.499874999998934e-05,2.5003249999988597e-05,0.0
0.0,0.0,0.0,6.899896000001071e-05,2.60027599999213e-05,0.0
0.0,0.0,0.0,7.099891999995389e-05,2.7002839999956674e-05,0.0
0.0,0.0,0.0,7.299859999998493e-05,2.8003649999941427e-05,0.0
0.0,0.0,0.0,7.799845000011629e-05,3.100389999999287e-05,0.0
0.0,0.0,0.0,8.299825000002148e-05,3.500415000001755e-05,0.0
0.0,0.0,0.0,8.699795000000066e-05,4.100434999998459e-05,0.0
0.0,0.0,0.0,9.1997800000021e-05,4.400460000003603e-05,0.0
0.0,0.0,0.0,9.499736000007086e-05,4.4005700000016024e-05,0.0
0.0,0.0,0.0,9.899723999995391e-05,4.600594000003788e-05,0.0
0.0,0.0,0.0,0.000102997120000059,4.800618000000423e-05,0.0
0.0,0.0,0.0,0.00010699717999995695,4.700641999999533e-05,0.0
0.0,0.0,0.0,0.00011199700000008583,5.00067199999954e-05,0.0
0.0,0.0,0.0,0.00011499688000005115,5.200689999995678e-05,0.0
0.0,0.0,0.0,0.00011899687999994413,5.200713999997664e-05,0.0
0.0,0.0,0.0,0.0001239965199999471,5.800744000000746e-05,0.0
0.0,0.0,0.0,0.00012899621999995503,6.300774000000953e-05,0.0
0.0,0.0,0.0,0.00013499591999999172,6.800810000001656e-05,0.0
0.0,0.0,0.0,0.00013999549999998973,7.500839999996511e-05,0.0
0.0,0.0,0.0,0.00014599508000001649,8.200875999997415e-05,0.0
0.0,0.0,0.0,0.0001509949600000393,8.400906000000097e-05,0.0
0.0,0.0,0.0,0.00015699465999996498,8.900941999995249e-05,0.0
0.0,0.0,0.0,0.00016299423999999174,9.600978000001703e-05,0.0
0.0,0.0,0.0,0.00016999499999992285,0.00010000849999997063,0.0
0.0,0.0,0.0,0.00017599485000008297,0.0001030087999999707,0.0
0.0,0.0,0.0,0.0001789936400000136,0.00010601073999999544,0.0
0.0,0.0,0.0,0.00018299339999999775,0.00011001097999996379,0.0
0.0,0.0,0.0,0.00018899304000002948,0.00011601133999999957,0.0
0.0,0.0,0.0,0.00019399304000006223,0.0001160116400000244,0.0
0.0,0.0,0.0,0.00019799153000005232,0.00012101385999996328,0.0
0.0,0.0,0.0,0.0002029911800000006,0.000126014210000025,0.0
0.0,0.0,0.0,0.0002099908300000064,0.00013101469999998727,0.0
0.0,0.0,0.0,0.0002149904799999547,0.00013601504999999348,0.0
0.0,0.0,0.0,0.00022099005999992594,0.00014201546999997872,0.0
0.0,0.0,0.0,0.00022598816000002353,0.00014801808000003414,0.0
0.0,0.0,0.0,0.00023298744000005422,0.0001570186400000062,0.0
0.0,0.0,0.0,0.00024098865999999664,0.00016201687000000353,0.0
0.0,0.0,0.0,0.00024798809999992955,0.00017001735999999656,0.0
0.0,0.0,0.0,0.0002549895000000246,0.0001750153000000254,0.0
0.0,0.0,0.0,0.0002589893199999582,0.000178015539999965,0.0
0.0,0.0,0.0,0.000263989259999986,0.00017901583999996307,0.0
0.0,0.0,0.0,0.0002689890199999989,0.0001830161400000474,0.0
0.0,0.0,0.0,0.00027498848000001574,0.0001920164999999474,0.0
0.0,0.0,0.0,0.0002809883600000118,0.0001940168599999792,0.0
0.0,0.0,0.0,0.0002859879399999543,0.00020101715999998326,0.0
0.0,0.0,0.0,0.00029098551000000805,0.0002070203699999773,0.0
0.0,0.0,0.0,0.0002989849499999697,0.00021502093000003164,0.0
0.0,0.0,0.0,0.00030598439000001365,0.00022302142000002467,0.0
0.0,0.0,0.0,0.00031098383000000007,0.00023102177000000612,0.0
0.0,0.0,0.0,0.00031798355000006717,0.00023502226000005066,0.0
0.0,0.0,0.0,0.0003249830600000614,0.00024202274999995943,0.0
0.0,0.0,0.0,0.00033098249999996554,0.0002500231700000022,0.0
0.0,0.0,0.0,0.00033698180000002464,0.0002600235899999914,0.0
0.0,0.0,0.0,0.00034097872000005136,0.00026602727999996967,0.0
0.0,0.0,0.0,0.00034797815999998427,0.00027302783999993974,0.0
0.0,0.0,0.0,0.0003549775200000216,0.0002810284000000496,0.0
0.0,0.0,0.0,0.0003599770400000146,0.00028702879999997766,0.0
0.0,0.0,0.0,0.00036397664000004104,0.0002920291199999814,0.0
0.0,0.0,0.0,0.0003689759199999587,0.0003010295199999957,0.0
0.0,0.0,0.0,0.00037297218999998716,0.00030903357000000575,0.0
0.0,0.0,0.0,0.0003769685000000189,0.0003150376999999649,0.0
0.0,0.0,0.0,0.0003839707500000178,0.00032503456000004816,0.0
0.0,0.0,0.0,0.00038996966999998994,0.0003370350999999383,0.0
0.0,0.0,0.0,0.00039797231999999516,0.0003460318400000384,0.0
0.0,0.0,0.0,0.00040497160000008137,0.00035503240000001046,0.0
0.0,0.0,0.0,0.00040897119999999676,0.0003600327200000142,0.0
0.0,0.0,0.0,0.00041497072000001856,0.0003660332000000044,0.0
0.0,0.0,0.0,0.000419970160000005,0.0003730335999999612,0.0
0.0,0.0,0.0,0.00042696935999997354,0.00038303415999996204,0.0
0.0,0.0,0.0,0.00043096895999999996,0.00038803447999996576,0.0
0.0,0.0,0.0,0.0004369682400000019,0.00039703496000004224,0.0
0.0,0.0,0.0,0.00044196784000000156,0.00040203535999999707,0.0
0.0,0.0,0.0,0.0004479672000000101,0.0004100358400000448,0.0
0.0,0.0,0.0,0.0004519667200000299,0.00041603615999996624,0.0
0.0,0.0,0.0,0.00045997003999997954,0.00042803220000003916,0.0
0.0,0.0,0.0,0.00046596948000005023,0.0004360326199999709,0.0
0.0,0.0,0.0,0.00046896439999999373,0.000445037519999969,0.0
0.0,0.0,0.0,0.0004739639200000423,0.0004510379200000636,0.0
0.0,0.0,0.0,0.0004779636000000198,0.00045503823999998305,0.0
0.0,0.0,0.0,0.000482962560000022,0.0004680386399999459,0.0
0.0,0.0,0.0,0.00048796159999997535,0.0004800390400000465,0.0
0.0,0.0,0.0,0.0004909611199999664,0.00048603928000001684,0.0
0.0,0.0,0.0,0.0004959601600000307,0.0004980396800000064,0.0
0.0,0.0,0.0,0.0004979545500000127,0.0005050448200000224,0.0
0.0,0.0,0.0,0.0005029540099999452,0.0005110452699999546,0.0
0.0,0.0,0.0,0.0005069532900000007,0.0005190456299999924,0.0
0.0,0.0,0.0,0.0005119524800000219,0.0005280460800000109,0.0
0.0,0.0,0.0,0.0005159513099999846,0.0005410464399999704,0.0
0.0,0.0,0.0,0.0005169450999999992,0.000549051700000025,0.0
0.0,0.0,0.0,0.0005199441000000027,0.0005590520000000043,0.0
0.0,0.0,0.0,0.0005249429000000472,0.0005710525000000022,0.0
0.0,0.0,0.0,0.00052794220000002,0.0005780527999999507,0.0
0.0,0.0,0.0,0.0005329470800000125,0.0005880479700000607,0.0
0.0,0.0,0.0,0.0005359464499999911,0.0005950482400000068,0.0
0.0,0.0,0.0,0.0005379453699999592,0.0006070484199999782,0.0
0.0,0.0,0.0,0.0005389384000000219,0.0006160539000000242,0.0
0.0,0.0,0.0,0.0005419370999999451,0.0006290542000000343,0.0
0.0,0.0,0.0,0.0005449362000000124,0.0006380544999999849,0.0
0.0,0.0,0.0,0.0005459356999999998,0.0006430545999999704,0.0
0.0,0.0,0.0,0.0005499411400000098,0.0006540495000000313,0.0
0.0,0.0,0.0,0.0005509403300000271,0.00066304959000002,0.0
0.0,0.0,0.0,0.0005499328999999942,0.000671054999999976,0.0
0.0,0.0,0.0,0.0005519317000000079,0.00068305520000006,0.0
0.0,0.0,0.0,0.0005539306999999827,0.0006930553999999756,0.0
0.0,0.0,0.0,0.0005559299000000295,0.0007010556000000556,0.0
0.0,0.0,0.0,0.0005569292000000003,0.0007080557000000431,0.0
0.0,0.0,0.0,0.0005619352900000374,0.0007190505799999913,0.0
0.0,0.0,0.0,0.0005669415999999816,0.0007300453599999868,0.0
0.0,0.0,0.0,0.0005679407199999931,0.0007410454399999766,0.0
0.0,0.0,0.0,0.0005689399200000667,0.0007510455199999932,0.0
0.0,0.0,0.0,0.0005699392000000358,0.0007600455999999811,0.0
0.0,0.0,0.0,0.0005709385600000116,0.0007680456800000512,0.0
0.0,0.0,0.0,0.0005719380000000218,0.0007750457599999816,0.0
0.0,0.0,0.0,0.000573937440000033,0.0007820459199999741,0.0
0.0,0.0,0.0,0.000570928989999997,0.0007890513899999618,0.0
0.0,0.0,0.0,0.0005689202999999698,0.0007970568999999816,0.0
0.0,0.0,0.0,0.000567911670000032,0.0008030624800000052,0.0
0.0,0.0,0.0,0.0005659110099999753,0.000809062259999993,0.0
0.0,0.0,0.0,0.0005649103500000308,0.0008150621500000454,0.0
0.0,0.0,0.0,0.0005639095800000216,0.0008220620400000156,0.0
0.0,0.0,0.0,0.0005639090300000038,0.0008270620399999373,0.0
0.0,0.0,0.0,0.0005649082599999966,0.0008340621500000367,0.0
0.0,0.0,0.0,0.0005659074900000172,0.000841062260000025,0.0
0.0,0.0,0.0,0.000565906720000009,0.0008480622600000598,0.0
0.0,0.0,0.0,0.0005639057300000083,0.0008570620400000228,0.0
0.0,0.0,0.0,0.0005649134999999861,0.000865056499999961,0.0
0.0,0.0,0.0,0.0005639124999999856,0.0008750564000000183,0.0
0.0,0.0,0.0,0.0005629114999999574,0.0008850562999999645,0.0
0.0,0.0,0.0,0.0005619104000000319,0.0008960562000000505,0.0
0.0,0.0,0.0,0.0005579008900000182,0.0009010613800000122,0.0
0.0,0.0,0.0,0.0005578995699999922,0.0009130613800000242,0.0
0.0,0.0,0.0,0.0005528898399999871,0.000918066360000025,0.0
0.0,0.0,0.0,0.0005498889999999701,0.0009250660000000299,0.0
0.0,0.0,0.0,0.0005468880399999987,0.0009330656400000081,0.0
0.0,0.0,0.0,0.0005438870799999995,0.0009410652799999308,0.0
0.0,0.0,0.0,0.0005408858800000083,0.0009510649199999666,0.0
